Repariere ausgewähltes Gebäude
Verkaufe ausgewähltes Gebäude
Spielstand sichern
Besprechung des Einsatzbefehles
Satelittenkontrollzentrum [$1000]
Geologisches Zentrum [$1250]
Fahrzeugbauzentrum [$2000]
Solar Module [$500]
Mobile Mining Rig [$800]
Recon Buggy [$150]
Recon Hovercraft [$170]
Light Buggy [$300]
Light Hovertank [$350]
Heavy Buggy [$500]
Heavy Hovertank [$650]
Mine Sweeper [$300]
Mine Layer [$350]
Neustart der Mission
Wollen Sie dieses Gebäude wirklich verkaufen? (Y/N)
Wollen Sie die Mission wirklich wiederholen? (Y/N)
Wollen Sie wirklich aufhören? (Y/N)

